test_file,m,n,algorithm,Cmax,runtime_sec
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case172.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case199.txt,3,10,IP,31.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case199.txt,3,10,GA,31,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case83.txt,3,10,IP,29.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case83.txt,3,10,GA,29,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case97.txt,3,10,IP,19.0,0.24
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case97.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case40.txt,3,10,IP,21.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case40.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case54.txt,3,10,IP,19.0,0.12
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case54.txt,3,10,GA,20,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case68.txt,3,10,IP,24.0,0.12
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case68.txt,3,10,GA,24,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case50.txt,3,10,IP,32.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case50.txt,3,10,GA,32,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case44.txt,3,10,IP,26.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case44.txt,3,10,GA,26,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case78.txt,3,10,IP,19.0,18.31
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case78.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case93.txt,3,10,IP,33.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case93.txt,3,10,GA,33,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case87.txt,3,10,IP,21.999999997699685,0.85
